"tab_inv_item.col_quantity","tab_inv_item.col_total","tab_inv.col_total","tab_inv.col_name","tab_inv.dt_invoice","tab_pers.col_bn","tab_pers.col_fn","tab_pers.col_sn","tab_pers.col_hn"
5,7,30,inv-0000000000000000000000000001,2016-11-25,9,"Tabor","West","Tabor West"
3,11,2,inv-0000000000000000000000000002,2017-06-08,14,"Rudolph","Falls","Rudolph Falls"
6,13,38,inv-0000000000000000000000000003,2017-03-08,4,"Kavon","Shearman","Kavon Shearman"
7,11,8,inv-0000000000000000000000000004,2019-07-11,2,"Verlin","Toney","Verlin Toney"
5,19,7,inv-0000000000000000000000000005,2016-11-18,3,"Sawyer","Morehead","Sawyer Morehead"
4,13,32,inv-0000000000000000000000000006,2017-08-02,9,"Tabor","West","Tabor West"
7,18,44,inv-0000000000000000000000000007,2016-02-05,5,"Tanner","Weston","Tanner Weston"
9,13,23,inv-0000000000000000000000000008,2019-10-07,9,"Tabor","West","Tabor West"
5,25,4,inv-0000000000000000000000000009,2017-10-04,0,"Wilburn","Merriman","Wilburn Merriman"
9,1,19,inv-0000000000000000000000000010,2016-01-07,1,"Carter","Romine","Carter Romine"
8,11,45,inv-0000000000000000000000000011,2019-12-24,13,"Iverson","Crossnoe","Iverson Crossnoe"
9,26,23,inv-0000000000000000000000000012,2018-04-27,6,"Morton","Trescott","Morton Trescott"
1,1,14,inv-0000000000000000000000000013,2018-08-28,14,"Rudolph","Falls","Rudolph Falls"
5,7,21,inv-0000000000000000000000000014,2018-02-07,6,"Morton","Trescott","Morton Trescott"
6,10,48,inv-0000000000000000000000000015,2016-08-15,4,"Kavon","Shearman","Kavon Shearman"
10,10,45,inv-0000000000000000000000000016,2016-02-05,4,"Kavon","Shearman","Kavon Shearman"
9,17,41,inv-0000000000000000000000000017,2017-03-20,0,"Wilburn","Merriman","Wilburn Merriman"
6,27,18,inv-0000000000000000000000000018,2018-11-08,1,"Carter","Romine","Carter Romine"
4,11,40,inv-0000000000000000000000000019,2019-04-17,0,"Wilburn","Merriman","Wilburn Merriman"
1,27,28,inv-0000000000000000000000000020,2017-09-04,2,"Verlin","Toney","Verlin Toney"
8,7,46,inv-0000000000000000000000000021,2018-03-01,9,"Tabor","West","Tabor West"
5,14,24,inv-0000000000000000000000000022,2017-08-03,12,"Kavon","Burget","Kavon Burget"
3,10,30,inv-0000000000000000000000000023,2018-06-08,1,"Carter","Romine","Carter Romine"
6,22,27,inv-0000000000000000000000000024,2017-09-29,11,"Sedona","Strauss","Sedona Strauss"
2,16,49,inv-0000000000000000000000000025,2018-12-17,2,"Verlin","Toney","Verlin Toney"
5,18,32,inv-0000000000000000000000000026,2016-10-21,10,"Sunshine","Mcilvain","Sunshine Mcilvain"
4,30,4,inv-0000000000000000000000000027,2017-03-09,3,"Sawyer","Morehead","Sawyer Morehead"
10,1,16,inv-0000000000000000000000000028,2019-02-26,11,"Sedona","Strauss","Sedona Strauss"
10,3,7,inv-0000000000000000000000000029,2016-06-03,7,"Windell","Minot","Windell Minot"
4,24,8,inv-0000000000000000000000000030,2017-04-24,8,"Rylan","Channel","Rylan Channel"
6,19,36,inv-0000000000000000000000000031,2018-03-19,4,"Kavon","Shearman","Kavon Shearman"
1,14,49,inv-0000000000000000000000000032,2018-02-09,13,"Iverson","Crossnoe","Iverson Crossnoe"
7,5,25,inv-0000000000000000000000000033,2018-01-31,4,"Kavon","Shearman","Kavon Shearman"
8,29,34,inv-0000000000000000000000000034,2016-04-13,11,"Sedona","Strauss","Sedona Strauss"
5,15,30,inv-0000000000000000000000000035,2016-04-12,0,"Wilburn","Merriman","Wilburn Merriman"
2,17,3,inv-0000000000000000000000000036,2017-06-30,9,"Tabor","West","Tabor West"
8,18,27,inv-0000000000000000000000000037,2018-06-15,2,"Verlin","Toney","Verlin Toney"
2,17,21,inv-0000000000000000000000000038,2017-02-24,3,"Sawyer","Morehead","Sawyer Morehead"
